'thin', 'thick', 'slender', 'slim', 'skinny', 'muscular', 'curvy', 'loose', 'floppy'	  0.7443277893277894
'frozen', 'iced', 'frosted', 'raw', 'uncooked', 'dried', 'healthy', 'food', 'feeding', 'eaten', 'eating', 'half_eaten', 'cooked', 'cooking', 'steamed', 'roasted', 'grilled', 'fat', 'seasoned'	  0.618919191919192
'bike', 'bicycle', 'motorcycle'	Number of classes ==  1, hence skipping this cluster
'dog', 'cat', 'tabby', "cat's", "dog's"	Number of classes ==  1, hence skipping this cluster
'straw', 'lace', 'logo', 'stripe', 'stripped', 'stripes', 'striped', 'plaid', 'checkered', 'checked', 'leather', 'camo', 'camouflage', 'khaki', 'military', 'print', 'printed'	  0.458150701899257
'wearing', 'worn'	Number of classes ==  1, hence skipping this cluster
'fabric', 'cloth', 'wool', 'fur', 'cotton', 'knit', 'vintage', 'mesh', 'barbed', 'fence', 'knitted', 'woven', 'layered', 'textured', 'patterned', 'patch', 'patchy'	  0.5018181818181818
'jeans', 'jean', 'denim', 'dress', 'dressed', 'shirt', 'button_down', 'shirtless', 'long_sleeved', 'long_sleeve', 'long-sleeved', 'short_sleeve', 'short_sleeved', 'short-sleeved', 'sleeveless'	  0.3025474898236093
'beaded', 'shining', 'illuminated', 'lit', 'light', 'lighted', 'fluorescent', 'lamp', 'lit_up', 'neon', 'glowing', 'polished', 'reflection', 'reflected', 'reflective', 'reflecting', 'glassy', 'glass', 'glazed', 'crystal'	  0.5611052631578946
'blowing'	Number of classes ==  1, hence skipping this cluster
'floating', 'upper', 'vertical', 'horizontal', 'upright'	Number of classes ==  1, hence skipping this cluster
'hardwood', 'paneled', 'wooden', 'wicker', 'antique', 'wood', 'made_of_wood', 'sandy', 'sand', 'dull', 'powdered', 'wispy', 'rusted', 'dusty', 'rusty'	  0.8755180650940579
'shaved', 'balding', 'bald', 'weathered', 'old_fashioned', 'elderly', 'older', 'old', 'brunette', 'blond', 'blonde', 'wavy', 'braided', 'curly'	  0.6810294117647059
'hairy', 'hair', 'face', 'head', 'brow', 'collared', 'body'	  0.6876543209876542
'soap'	Number of classes ==  1, hence skipping this cluster
'dead', 'dying', 'young', 'modern', 'foreign', 'new'	  0.8209118381290237
'mother', "woman's", 'female', 'woman', 'adult', "person's", 'person', 'human', 'people', 'man', "man's", 'mans', 'male', 'boy', "boy's", "girl's", "child's"	  0.38268078889700513
'cheese', 'cheesy', 'melted', 'bread', 'toasted', 'wheat', 'vegetable', 'fruit'	  0.5655643274853801
'snowboarding', 'skateboard', 'skateboarding', 'skating', 'skiing', 'ski'	  0.852089947089947
'snow-covered', 'snow_covered', 'snow', 'winter', 'cold', 'snowy', 'overcast', 'partly_cloudy', 'cloudy', 'stormy', 'foggy', 'night', 'daytime'	  0.7468239402306316
'sunny', 'warm'	Number of classes ==  1, hence skipping this cluster
'floral', 'flower', 'flowered'	Number of classes ==  1, hence skipping this cluster
'herd', 'jumping', 'grazing', 'barefoot', 'racing', 'fenced', 'riding'	Number of classes ==  1, hence skipping this cluster
'jagged', 'bent', 'twisted', 'bent_over', 'bending_over', 'bending', 'standing_up', 'standing', 'lined_up', 'statue', 'support', 'leaning', 'lined', 'line', 'straight', 'parallel', 'still', 'waiting', 'curved', 'crooked', 'angled', 'curled', 'rolled_up', 'arched', 'turning', 'turned', 'rolling', 'rolled', 'roll'	  0.6893660526818097
'hot', 'tropical', 'beach', 'ocean', 'water', 'aqua', 'flowing', 'outdoor', 'outdoors', 'inside', 'indoors'	  0.4902716535433071
'drinking', 'relaxing', 'swimming', 'surfing', 'surfer', 'deep', 'shallow'	  0.6062071197411004
'muddy', 'murky', 'clear', 'barren', 'bare', 'rocky', 'gravel', 'rock'	  0.6788445179584118
'pizza', 'delicious', 'pepperoni', 'tasty', 'homemade', 'fried', 'crispy', 'baked', 'assorted', 'juicy'	Number of classes ==  1, hence skipping this cluster
'tree', 'grassy', 'evergreen', 'bushy', 'pine', 'grass', 'mowed', 'palm', 'lush', 'wooded', 'shaded', 'overgrown', 'leafy', 'leafless', 'blooming', 'potted'	Number of classes ==  1, hence skipping this cluster
'athletic', 'playing', "player's", 'nike', 'polo', 'adidas', 'tennis', 'tennis_player', 'for_tennis', 'playing_tennis', 'batting', 'tee', 'baseball', 'playing_baseball', 'for_baseball', 'baseball_player', 'soccer'	  0.6238338192419828
'street', 'paved', 'city', 'railroad', 'tarmacked', 'cobblestone', 'traffic', 'road', 'area', 'one_way', 'crossed', 'crossing', 'pedestrian', 'building', 'two_story', 'home', "building's", 'plain', 'field', 'park', 'public', 'crowded', 'busy', 'traveling', 'train', "train's", 'police', 'bus', 'double_decker', 'double-decker'	  0.570548772968307
'marked', 'speckled', 'spotted', 'dotted', 'polka_dot', 'directional', 'pointing', 'carved'	  0.6813341543513957
'little', 'tiny', 'miniature', 'mini', 'short', 'small', 'smaller', 'compact', 'big', 'giant', 'massive', 'huge', 'large', 'larger', 'largest', 'very_large', 'medium_sized', 'medium', 'tall', 'tallest', 'taller', 'very_tall', 'high'	  0.44258270932607185
'long', 'growing', 'extended', 'outstretched', 'wide', 'stretched', 'tight', 'narrow', 'reaching', 'coming'	  0.9294633764198978
'rear_view', 'rear', 'behind', 'in_back', 'back', 'backwards', 'on_the_right', 'on_right', 'on_left', 'on_the_left', 'side_view', 'side', 'on_side', 'sideways', 'in_front', 'in_foreground', 'center'	  0.6254418460264902
'circle', 'circular', 'cylindrical', 'rectangle', 'oblong', 'square', 'rectangular', 'block', 'round', 'oval', 'rounded', 'diamond_shaped', 'diamond', 'octagon', 'octagonal', 'chain', 'chain_link', 'chainlink', 'wire', 'shaped', 'triangle', 'triangular'	  0.4518772378516622
'nearby', 'close', 'around', 'facing', 'beside', 'side_by_side', 'distant', 'far_away', 'in_the_distance', 'distance', 'in_distance', 'far'	  0.7566707818930041
'overhead', 'mounted', 'upholstered', 'docked', 'raised', 'rising', 'lifted', 'top', 'on_top', 'elevated', 'low', 'lower', 'ground', 'spread', 'on_ground', 'sleeping', 'lying_down', 'upside_down', 'resting', 'laying', 'lying', 'laying_down', 'looking_up', 'looking_down'	  0.6683680555555552
'sparse', 'dense'	  0.6506010928961748
'in_motion', 'moving', 'going', 'shopping', 'running', 'walking', 'crashing', 'stopped'	  0.9201361895304297
'swinging', 'balancing', 'perched', 'sticking_out'	Number of classes ==  1, hence skipping this cluster
'staring', 'watching'	Number of classes ==  1, hence skipping this cluster
'hitting', 'throwing', 'spraying', 'sprinkled', 'splashing', 'waving', 'carrying', 'enjoying', 'performing'	  0.9445454545454546
'attached', 'connected', 'recessed'	Number of classes ==  1, hence skipping this cluster
'gree', 'existing', 'visable', 'shingled'	  0.4765294117647058
'crouching', 'kneeling', 'squatting', 'crouched', 'fallen', 'falling'	  0.8457142857142858
'fuzzy', 'blurred', 'hazy', 'blurry', 'focused'	  0.9680103550295858
'warning', 'sign', 'stop_sign', 'street_sign', 'for_sale', 'alert', 'stop'	Number of classes ==  1, hence skipping this cluster
'covering', 'covered', 'hidden', 'gloved', 'hooded', 'wrapped'	Number of classes ==  1, hence skipping this cluster
'bottom', 'hind', 'tail'	  0.7839655172413793
'plush', 'fluffy', 'padded', 'feathered', 'wooly', 'shaggy', 'puffy', 'furry'	Number of classes ==  1, hence skipping this cluster
'sloped', 'sliding', 'slanted', 'tilted', 'steep', 'sheer'	Number of classes ==  1, hence skipping this cluster
'writing', 'reading', 'working', 'written', 'talking'	Number of classes ==  1, hence skipping this cluster
'preparing', 'made', 'ready', 'artificial', 'real', 'fake'	  0.7548692810457517
'hand', 'wrist', 'setting', 'serving', 'holding', 'held'	  0.8779257907542578
'model', 'posing', 'professional', 'looking', 'bold', 'strong', 'advertisement', 'advertising', 'cast', 'commercial'	  0.8411639849366656
'edge', 'edged', 'shut', 'closed', 'unopened', 'enclosed', 'apart', 'open', 'opened'	  0.6540579710144928
'pair', 'paired', 'a_pair', 'double', 'numbered', 'multiple', 'together', 'many', 'different', 'mixed', 'first', 'second', 'middle', 'several', 'bunch', 'bunched', 'set', 'one', 'alone', 'lone', 'single', 'row', 'in_row', 'in_a_row'	  0.41375554569653955
'part', 'partial', 'whole', 'half_full', 'half', 'empty', 'blank', 'missing', 'filled', 'full'	  0.43395454545454554
'pulled_back', 'drawn'	Number of classes ==  1, hence skipping this cluster
'displayed', 'on_display', 'display', 'showing', 'exposed'	Number of classes ==  1, hence skipping this cluster
'heavy', 'solid', 'cut', 'trimmed', 'pieces', 'section', 'cutting', 'cut_up', 'piece', 'torn', 'shredded', 'breaking', 'broken', 'chipped', 'cracked', 'sharp', 'pointy', 'spiky', 'pointed'	  0.6494652908067542
